u925,v925,ws925,wd925
-7.02813056,-3.438041986,7.823985676,63.9329057
-9.535957831,3.836585275,10.27880724,111.9163164
-1.919834579,6.497490576,6.775186241,163.5390002
-7.005976997,2.097715918,7.313284197,106.6686488
-4.451314963,-1.773851973,4.791738278,68.2726853
-1.90574561,1.649993059,2.520782304,130.8859884
-6.170689073,-0.821247933,6.225098537,82.41913831
-3.039218522,4.312416182,5.275773171,144.8253491
-3.835208069,8.401437565,9.23541954,155.4635742
-6.622118283,0.267975583,6.627538115,92.31730944
-4.855957871,4.413820716,6.562174956,132.2692542
-0.777108478,7.279905803,7.321265334,173.906918
-5.380164843,-1.735570877,5.65317433,72.12097708
-6.071527709,0.889398771,6.136324543,98.33380372
-4.495126688,0.827343755,4.570630332,100.4287729
-8.559685984,0.313832407,8.565437229,92.09975247
-4.847265301,5.267383224,7.158303355,137.378447
-3.430183382,2.405409478,4.189528947,125.0399848
-1.193759414,0.861311309,1.472045756,125.810887
-4.506875738,1.570225129,4.772581678,109.2086725
-3.668839765,5.493832206,6.606252911,146.2645781
-4.357052776,-0.828323514,4.435090612,79.23589665
-4.716083808,2.560510228,5.366345042,118.498927
-6.622916321,3.075949609,7.302361713,114.9120574
-3.637332363,9.867858765,10.51688278,159.765911
-8.111295049,2.003678168,8.355108232,103.8756069
-3.648425925,6.155536237,7.155531992,149.3445049
-2.051833292,-0.339461673,2.079724522,80.60590142
-7.39489042,0.701830895,7.428120282,95.42156255
-6.049096188,3.658197168,7.069227059,121.1634945
-6.782650424,3.748035438,7.749330062,118.9246697
-5.935032381,-0.900593496,6.002972431,81.37164824
-10.71980181,0.096558924,10.72023668,90.51607943
-9.447314924,4.326125132,10.39072269,114.6040443
-3.632125179,9.742901223,10.3979064,159.5546915
-6.238622255,-2.810181406,6.842333459,65.75086277
-6.807468065,-2.715057874,7.3289263,68.25614657
-10.50462499,-3.000364764,10.92471212,74.05942837
-15.13345893,-1.972154051,15.261421,82.57520131
-8.571458874,3.848533022,9.395802981,114.1797909
-9.015794904,-2.34192198,9.314996313,75.43878928
-5.721754429,1.639792077,5.952091381,105.991722
-7.120252659,1.640981166,7.306902019,102.9781586
-7.659614407,3.835565998,8.566286207,116.5995026
-5.65529501,-1.606924866,5.879163986,74.13775605
-8.448883317,2.159438285,8.720481811,104.3372128
-3.218483414,5.432591397,6.314402962,149.3558112
-6.875844533,2.312486973,7.254297625,108.5888436
-6.151942482,4.654439038,7.714285389,127.1104347
-5.476628048,2.516692627,6.027204705,114.6803535
-3.558512202,0.278497674,3.569393512,94.47498316
-3.822379859,1.387365053,4.066370566,109.9487935
-6.08117147,2.479527486,6.567244704,112.1826117
-6.933887165,2.116360163,7.249673893,106.9732308
-8.032678317,4.429608322,9.173077501,118.8744725
-8.76045832,3.093488181,9.290602731,109.449117
-4.733386459,3.816308486,6.080226791,128.8776112
-6.222560683,0.715420453,6.263552337,96.55861492
-5.665521396,3.821090836,6.83365699,123.9975561
-6.872267647,2.27706199,7.239687418,108.3321351
-6.049689892,2.013062145,6.375826769,108.4051006
-3.407163783,2.303624916,4.112839991,124.0631044
-5.184559449,2.219727919,5.639756087,113.1778033
-7.377242267,3.604957779,8.210933202,116.0428758
-6.138672809,5.260011003,8.083997749,130.5921005
-5.91834724,0.83955406,5.977598604,98.07388989
-7.499960573,4.386296495,8.688440915,120.320915
-6.269097817,1.407446093,6.425145286,102.6534057
-6.926560475,1.925588403,7.189237144,105.5359659
-4.902426362,2.602633926,5.550449314,117.9632469
-4.749868061,3.449719343,5.870418226,125.9900367
-8.00679085,2.173289811,8.296498558,105.1859573
-3.006448377,1.582433981,3.397473936,117.7599245
-2.700879197,0.989710533,2.87650402,110.1248614
-8.863680126,4.353553171,9.87513294,116.1587787
